Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.0118145,0,0,0,-0.2825519,1.404642,0.1251326,0.1839419,1.393502,0.2242814,0.205047,1.415862,0.005167119,0,0,0,-0.1906951,1.399777,-0.0208173,-0.1846086,0.5198548,0.03180261,0.0941301,0.482443,0.06730158,-0.2764457,0.05516589,-0.01049167,0.1901433,0.04489946,0.05422293
0.0141095,0,0,0,-0.2821648,1.405392,0.1264791,0.1834804,1.393559,0.225202,0.2033539,1.414692,0.00589484,0,0,0,-0.1904613,1.400282,-0.02081564,-0.1858046,0.5210458,0.0315968,0.09433371,0.4824725,0.06748066,-0.2762868,0.05481517,-0.009944085,0.1900434,0.04480708,0.05418643
0.010679,0,0,0,-0.2815189,1.406053,0.1275682,0.1832222,1.393953,0.225862,0.2033046,1.414821,0.00596305,0,0,0,-0.1903554,1.400845,-0.02051874,-0.1863763,0.5222394,0.03338308,0.09461075,0.4825815,0.06813962,-0.2776326,0.05565059,-0.0109018,0.1899419,0.04466224,0.05415975
0.0116671,0,0,0,-0.2809762,1.406635,0.1287251,0.182371,1.394226,0.2262417,0.2060781,1.416096,0.007536262,0,0,0,-0.1901084,1.400575,-0.02063152,-0.1878402,0.5226544,0.03343008,0.09461123,0.4826342,0.06874183,-0.2788324,0.05546272,-0.01143092,0.1898155,0.0445894,0.05402061
0.0105893,0,0,0,-0.2806209,1.407306,0.129812,0.1810632,1.394328,0.2265126,0.2032165,1.414359,0.006984316,0,0,0,-0.1906006,1.400808,-0.02021085,-0.1915892,0.5215191,0.03155322,0.09472114,0.4826797,0.06910729,-0.2807875,0.05452681,-0.01230224,0.1897711,0.04453933,0.05402052
0.0113106,0,0,0,-0.2803053,1.408352,0.1310886,0.1795774,1.394561,0.2260401,0.20273,1.414262,0.006573468,0,0,0,-0.1903023,1.400642,-0.01987392,-0.1943867,0.5215405,0.03130165,0.09479803,0.4827328,0.06959991,-0.2816748,0.05463934,-0.0121009,0.1899862,0.04474545,0.05409664
0.0111026,0,0,0,-0.2801719,1.409043,0.1322659,0.1783404,1.394915,0.2256427,0.1990669,1.413024,0.00420481,0,0,0,-0.1913177,1.400496,-0.01937275,-0.1967596,0.5213519,0.03077916,0.09478289,0.482838,0.06955697,-0.2827561,0.05451965,-0.01255918,0.1898654,0.04477417,0.05409705
0.0108488,0,0,0,-0.2802375,1.409917,0.1330949,0.1765985,1.395143,0.2242354,0.1980816,1.41283,0.003399871,0,0,0,-0.1920325,1.400486,-0.01917,-0.1962481,0.5219425,0.03259934,0.09453803,0.4828451,0.06986754,-0.2833169,0.05433083,-0.01279642,0.1898282,0.04475653,0.05408812
0.0112031,0,0,0,-0.2802025,1.410715,0.1337152,0.1749399,1.395404,0.2232167,0.2010012,1.414758,0.004324108,0,0,0,-0.1930534,1.40039,-0.01870948,-0.1982415,0.5218993,0.03178551,0.09424251,0.4830273,0.06950153,-0.2835769,0.05416965,-0.01307394,0.1899219,0.04477394,0.05385597
0.0110177,0,0,0,-0.2804546,1.411726,0.1343212,0.1731065,1.395539,0.2203602,0.1998953,1.414624,0.003316179,0,0,0,-0.1941726,1.400295,-0.01801338,-0.1995826,0.5222164,0.0308993,0.09372753,0.4830254,0.06955542,-0.2833738,0.05381143,-0.01296487,0.1899527,0.04472995,0.05379122
0.0113585,0,0,0,-0.2806107,1.412443,0.1349885,0.1717696,1.395701,0.2184661,0.1986896,1.414368,0.0029044,0,0,0,-0.1957619,1.40016,-0.01729652,-0.2011123,0.5222883,0.02968372,0.09321016,0.4829882,0.06932196,-0.2829222,0.05367923,-0.01275565,0.1902078,0.0447073,0.05383027
0.0110028,0,0,0,-0.2810963,1.413355,0.1352463,0.1705722,1.39594,0.2158825,0.1972098,1.414183,0.001834661,0,0,0,-0.1969773,1.399893,-0.01653115,-0.2020974,0.5220062,0.02869032,0.09298033,0.4835609,0.0692759,-0.2834533,0.05326033,-0.01305187,0.190754,0.04578447,0.05403866
0.0114075,0,0,0,-0.281738,1.414341,0.1359111,0.1692532,1.396198,0.2138979,0.1955211,1.414938,-0.0006603599,0,0,0,-0.1985202,1.399573,-0.01558181,-0.2032695,0.521994,0.02742313,0.09266073,0.4834379,0.06949071,-0.2841029,0.0540508,-0.01352457,0.1909104,0.04618466,0.05420419
